pclass,sex,age,fare,survived
1,female,29,211.3375,1
1,male,0.9167,151.5500,1
1,female,2,151.5500,0
1,male,30,151.5500,0
1,female,25,151.5500,0
1,male,48,26.5500,1
1,female,63,77.9583,1
1,male,39,0.0000,0
1,female,53,51.4792,1
1,male,71,49.5042,0
1,male,47,227.5250,0
1,female,18,227.5250,1
1,female,24,69.3000,1
1,female,26,78.8500,1
1,male,80,30.0000,1
1,male,,25.9250,0
1,male,24,247.5208,0
1,female,50,247.5208,1
1,female,32,76.2917,1
1,male,36,75.2417,0
1,male,37,52.5542,1
1,female,47,52.5542,1
1,male,26,30.0000,1
1,female,42,227.5250,1
1,female,29,221.7792,1
1,male,25,26.0000,0
1,male,25,91.0792,1
1,female,19,91.0792,1
1,female,35,135.6333,1
1,male,28,26.5500,1
1,male,45,35.5000,0
1,male,40,31.0000,1
1,female,30,164.8667,1
1,female,58,26.5500,1
1,male,42,26.5500,0
1,female,45,262.3750,1
1,female,22,55.0000,1
1,male,,26.5500,1
1,male,41,30.5000,0
1,male,48,50.4958,0
1,male,,39.6000,0
1,female,44,27.7208,1
1,female,59,51.4792,1
1,female,60,76.2917,1
1,female,41,134.5000,1
1,male,45,26.5500,0
1,male,,31.0000,0
1,male,42,26.2875,1
1,female,53,27.4458,1
1,male,36,512.3292,1
1,female,58,512.3292,1
1,male,33,5.0000,0
1,male,28,47.1000,0
1,male,17,47.1000,0
1,male,11,120.0000,1
1,female,14,120.0000,1
1,male,36,120.0000,1
1,female,36,120.0000,1
1,male,49,26.0000,0
1,female,,27.7208,1
1,male,36,78.8500,0
1,female,76,78.8500,1
1,male,46,61.1750,0
1,female,47,61.1750,1
1,male,27,53.1000,1
1,female,33,53.1000,1
1,female,36,262.3750,1
1,female,30,86.5000,1
1,male,45,29.7000,1
1,female,,55.0000,1
1,male,,0.0000,0
1,male,27,136.7792,0
1,female,26,136.7792,1
1,female,22,151.5500,1
1,male,,52.0000,0
1,male,47,25.5875,0
1,female,39,83.1583,1
1,male,37,83.1583,0
1,female,64,83.1583,1
1,female,55,25.7000,1
1,male,,26.5500,0
1,male,70,71.0000,0
1,female,36,71.0000,1
1,female,64,26.5500,1
1,male,39,71.2833,0
1,female,38,71.2833,1
1,male,51,26.5500,1
1,male,27,30.5000,1
1,female,33,151.5500,1
1,male,31,52.0000,0
1,female,27,52.0000,1
1,male,31,57.0000,1
1,female,17,57.0000,1
1,male,53,81.8583,1
1,male,4,81.8583,1
1,female,54,81.8583,1
1,male,50,106.4250,0
1,female,27,247.5208,1
1,female,48,106.4250,1
1,female,48,39.6000,1
1,male,49,56.9292,1
1,male,39,29.7000,0
1,female,23,83.1583,1
1,female,38,227.5250,1
1,female,54,78.2667,1
1,female,36,31.6792,0
1,male,,221.7792,0
1,female,,31.6833,1
1,female,,110.8833,1
1,male,36,26.3875,1
1,male,30,27.7500,0
1,female,24,263.0000,1
1,female,28,263.0000,1
1,female,23,263.0000,1
1,male,19,263.0000,0
1,male,64,263.0000,0
1,female,60,263.0000,1
1,female,30,56.9292,1
1,male,,26.5500,0
1,male,50,133.6500,1
1,male,43,27.7208,1
1,female,,133.6500,1
1,female,22,49.5000,1
1,male,60,79.2000,1
1,female,48,79.2000,1
1,male,,0.0000,0
1,male,37,53.1000,0
1,female,35,53.1000,1
1,male,47,38.5000,0
1,female,35,211.5000,1
1,female,22,59.4000,1
1,female,45,59.4000,1
1,male,24,79.2000,0
1,male,49,89.1042,1
1,female,,89.1042,1
1,male,71,34.6542,0
1,male,53,28.5000,1
1,female,19,30.0000,1
1,male,38,153.4625,0
1,female,58,153.4625,1
1,male,23,63.3583,1
1,female,45,63.3583,1
1,male,46,79.2000,0
1,male,25,55.4417,1
1,female,25,55.4417,1
1,male,48,76.7292,1
1,female,49,76.7292,1
1,male,,42.4000,0
1,male,45,83.4750,0
1,female,35,83.4750,1
1,male,40,0.0000,0
1,male,27,76.7292,1
1,male,,30.0000,1
1,female,24,83.1583,1
1,male,55,93.5000,0
1,female,52,93.5000,1
1,male,42,42.5000,0
1,male,,51.8625,0
1,male,55,50.0000,0
1,female,16,57.9792,1
1,female,44,57.9792,1
1,female,51,77.9583,1
1,male,42,52.0000,0
1,female,35,52.0000,1
1,male,35,26.5500,1
1,male,38,90.0000,1
1,male,,30.6958,0
1,female,35,90.0000,1
1,female,38,80.0000,1
1,female,50,28.7125,0
1,male,49,0.0000,1
1,male,46,26.0000,0
1,male,50,26.0000,0
1,male,32.5,211.5000,0
1,male,58,29.7000,0
1,male,41,51.8625,0
1,female,,51.8625,1
1,male,42,52.5542,1
1,female,45,52.5542,1
1,male,,26.5500,0
1,female,39,211.3375,1
1,female,49,25.9292,1
1,female,30,106.4250,1
1,male,35,512.3292,1
1,male,,27.7208,0
1,male,42,26.5500,0
1,female,55,27.7208,1
1,female,16,39.4000,1
1,female,51,39.4000,1
1,male,29,30.0000,0
1,female,21,77.9583,1
1,male,30,45.5000,0
1,female,58,146.5208,1
1,female,15,211.3375,1
1,male,30,26.0000,0
1,female,16,86.5000,1
1,male,,29.7000,1
1,male,19,53.1000,0
1,female,18,53.1000,1
1,female,24,49.5042,1
1,male,46,75.2417,0
1,male,54,51.8625,0
1,male,36,26.2875,1
1,male,28,82.1708,0
1,female,,82.1708,1
1,male,65,26.5500,0
1,male,44,90.0000,0
1,female,33,90.0000,1
1,female,37,90.0000,1
1,male,30,57.7500,1
1,male,55,30.5000,0
1,male,47,42.4000,0
1,male,37,29.7000,0
1,female,31,113.2750,1
1,female,23,113.2750,1
1,male,58,113.2750,0
1,female,19,26.2833,1
1,male,64,26.0000,0
1,female,39,108.9000,1
1,male,,25.7417,1
1,female,22,61.9792,1
1,male,65,61.9792,0
1,male,28.5,27.7208,0
1,male,,0.0000,0
1,male,45.5,28.5000,0
1,male,23,93.5000,0
1,male,29,66.6000,0
1,female,22,66.6000,1
1,male,18,108.9000,0
1,female,17,108.9000,1
1,female,30,93.5000,1
1,male,52,30.5000,1
1,male,47,52.0000,0
1,female,56,83.1583,1
1,male,38,0.0000,0
1,male,,39.6000,1
1,male,22,135.6333,0
1,male,,227.5250,0
1,female,43,211.3375,1
1,male,31,50.4958,0
1,male,45,26.5500,1
1,male,,50.0000,0
1,female,33,27.7208,1
1,male,46,79.2000,0
1,male,36,40.1250,0
1,female,33,86.5000,1
1,male,55,59.4000,0
1,female,54,59.4000,1
1,male,33,26.5500,0
1,male,13,262.3750,1
1,female,18,262.3750,1
1,female,21,262.3750,1
1,male,61,262.3750,0
1,female,48,262.3750,1
1,male,,30.5000,1
1,female,24,69.3000,1
1,male,,26.0000,1
1,female,35,57.7500,1
1,female,30,31.0000,1
1,male,34,26.5500,1
1,female,40,153.4625,1
1,male,35,26.2875,1
1,male,50,55.9000,0
1,female,39,55.9000,1
1,male,56,35.5000,1
1,male,28,35.5000,1
1,male,56,26.5500,0
1,male,56,30.6958,0
1,male,24,60.0000,0
1,male,,26.0000,0
1,female,18,60.0000,1
1,male,24,82.2667,1
1,female,23,82.2667,1
1,male,6,134.5000,1
1,male,45,134.5000,1
1,female,40,134.5000,1
1,male,57,146.5208,0
1,female,,146.5208,1
1,male,32,30.5000,1
1,male,62,26.5500,0
1,male,54,55.4417,1
1,female,43,55.4417,1
1,female,52,78.2667,1
1,male,,27.7208,0
1,female,62,80.0000,1
1,male,67,221.7792,0
1,female,63,221.7792,0
1,male,61,32.3208,0
1,female,48,25.9292,1
1,female,18,79.6500,1
1,male,52,79.6500,0
1,female,39,79.6500,1
1,male,48,52.0000,1
1,female,,52.0000,1
1,male,49,110.8833,0
1,male,17,110.8833,1
1,female,39,110.8833,1
1,female,,79.2000,1
1,male,31,28.5375,1
1,male,40,27.7208,0
1,male,61,33.5000,0
1,male,47,34.0208,0
1,female,35,512.3292,1
1,male,64,75.2500,0
1,female,60,75.2500,1
1,male,60,26.5500,0
1,male,54,77.2875,0
1,male,21,77.2875,0
1,female,55,135.6333,1
1,female,31,164.8667,1
1,male,57,164.8667,0
1,female,45,164.8667,1
1,male,50,211.5000,0
1,male,27,211.5000,0
1,female,50,211.5000,1
1,female,21,26.5500,1
1,male,51,61.3792,0
1,male,21,61.3792,1
1,male,,35.0000,0
1,female,31,134.5000,1
1,male,,35.5000,1
1,male,62,26.5500,0
1,female,36,135.6333,1
2,male,30,24.0000,0
2,female,28,24.0000,1
2,male,30,13.0000,0
2,male,18,11.5000,0
2,male,25,10.5000,0
2,male,34,26.0000,0
2,female,36,26.0000,1
2,male,57,13.0000,0
2,male,18,11.5000,0
2,male,23,10.5000,0
2,female,36,13.0000,1
2,male,28,10.5000,0
2,male,51,12.5250,0
2,male,32,26.0000,1
2,female,19,26.0000,1
2,male,28,26.0000,0
2,male,1,39.0000,1
2,female,4,39.0000,1
2,female,12,39.0000,1
2,female,36,39.0000,1
2,male,34,13.0000,1
2,female,19,13.0000,1
2,male,23,13.0000,0
2,male,26,13.0000,0
2,male,42,13.0000,0
2,male,27,13.0000,0
2,female,24,13.0000,1
2,female,15,39.0000,1
2,male,60,39.0000,0
2,female,40,39.0000,1
2,female,20,26.0000,1
2,male,25,26.0000,0
2,female,36,13.0000,1
2,male,25,13.0000,0
2,male,42,13.0000,0
2,female,42,13.0000,1
2,male,0.8333,29.0000,1
2,male,26,29.0000,1
2,female,22,29.0000,1
2,female,35,21.0000,1
2,male,,0.0000,0
2,male,19,13.0000,0
2,female,44,26.0000,0
2,male,54,26.0000,0
2,male,52,13.5000,0
2,male,37,26.0000,0
2,female,29,26.0000,0
2,female,25,30.0000,1
2,female,45,30.0000,1
2,male,29,26.0000,0
2,female,28,26.0000,1
2,male,29,10.5000,0
2,male,28,13.0000,0
2,male,24,10.5000,1
2,female,8,26.2500,1
2,male,31,26.2500,0
2,female,31,26.2500,1
2,female,22,10.5000,1
2,female,30,13.0000,0
2,female,,21.0000,0
2,male,21,11.5000,0
2,male,,0.0000,0
2,male,8,36.7500,1
2,male,18,73.5000,0
2,female,48,36.7500,1
2,female,28,13.0000,1
2,male,32,13.0000,0
2,male,17,73.5000,0
2,male,29,27.7208,0
2,female,24,27.7208,1
2,male,25,31.5000,0
2,male,18,73.5000,0
2,female,18,23.0000,1
2,female,34,23.0000,1
2,male,54,26.0000,0
2,male,8,32.5000,1
2,male,42,32.5000,0
2,female,34,32.5000,1
2,female,27,13.8583,1
2,female,30,13.8583,1
2,male,23,13.0000,0
2,male,21,13.0000,0
2,male,18,13.0000,0
2,male,40,26.0000,0
2,female,29,26.0000,1
2,male,18,10.5000,0
2,male,36,13.0000,0
2,male,,0.0000,0
2,female,38,13.0000,0
2,male,35,26.0000,0
2,male,38,21.0000,0
2,male,34,21.0000,0
2,female,34,13.0000,1
2,male,16,26.0000,0
2,male,26,10.5000,0
2,male,47,10.5000,0
2,male,21,11.5000,0
2,male,21,11.5000,0
2,male,24,13.5000,0
2,male,24,13.0000,0
2,male,34,13.0000,0
2,male,30,13.0000,0
2,male,52,13.0000,0
2,male,30,13.0000,0
2,male,0.6667,14.5000,1
2,female,24,14.5000,1
2,male,44,13.0000,0
2,female,6,33.0000,1
2,male,28,33.0000,0
2,male,62,10.5000,1
2,male,30,10.5000,0
2,female,7,26.2500,1
2,male,43,26.2500,0
2,female,45,26.2500,1
2,female,24,65.0000,1
2,female,24,65.0000,1
2,male,49,65.0000,0
2,female,48,65.0000,1
2,female,55,16.0000,1
2,male,24,73.5000,0
2,male,32,73.5000,0
2,male,21,73.5000,0
2,female,18,13.0000,0
2,female,20,23.0000,1
2,male,23,11.5000,0
2,male,36,13.0000,0
2,female,54,23.0000,1
2,male,50,13.0000,0
2,male,44,26.0000,0
2,female,29,26.0000,1
2,male,21,73.5000,0
2,male,42,13.0000,1
2,male,63,26.0000,0
2,female,60,26.0000,0
2,male,33,12.2750,0
2,female,17,10.5000,1
2,male,42,27.0000,0
2,female,24,27.0000,1
2,male,47,15.0000,0
2,male,24,31.5000,0
2,male,22,31.5000,0
2,male,32,10.5000,0
2,female,23,13.7917,1
2,male,34,26.0000,0
2,female,24,26.0000,1
2,female,22,21.0000,0
2,female,,12.3500,1
2,male,35,12.3500,0
2,female,45,13.5000,1
2,male,57,12.3500,0
2,male,,0.0000,0
2,male,31,10.5000,0
2,female,26,26.0000,0
2,male,30,26.0000,0
2,male,,10.7083,0
2,female,1,41.5792,1
2,female,3,41.5792,1
2,male,25,41.5792,0
2,female,22,41.5792,1
2,female,17,12.0000,1
2,female,,33.0000,1
2,female,34,10.5000,1
2,male,36,12.8750,0
2,male,24,10.5000,0
2,male,61,12.3500,0
2,male,50,26.0000,0
2,female,42,26.0000,1
2,female,57,10.5000,0
2,male,,15.0458,0
2,male,1,37.0042,1
2,male,31,37.0042,0
2,female,24,37.0042,1
2,male,,15.5792,0
2,male,30,13.0000,0
2,male,40,16.0000,0
2,male,32,13.5000,0
2,male,30,13.0000,0
2,male,46,26.0000,0
2,female,13,19.5000,1
2,female,41,19.5000,1
2,male,19,10.5000,1
2,male,39,13.0000,0
2,male,48,13.0000,0
2,male,70,10.5000,0
2,male,27,13.0000,0
2,male,54,14.0000,0
2,male,39,26.0000,0
2,male,16,10.5000,0
2,male,62,9.6875,0
2,male,32.5,30.0708,0
2,female,14,30.0708,1
2,male,2,26.0000,1
2,male,3,26.0000,1
2,male,36.5,26.0000,0
2,male,26,13.0000,0
2,male,19,36.7500,0
2,male,28,13.5000,0
2,male,20,13.8625,1
2,female,29,10.5000,1
2,male,39,13.0000,0
2,male,22,10.5000,1
2,male,,13.8625,1
2,male,23,10.5000,0
2,male,29,13.8583,1
2,male,28,10.5000,0
2,male,,0.0000,0
2,female,50,26.0000,1
2,male,19,10.5000,0
2,male,,15.0500,0
2,male,41,13.0000,0
2,female,21,21.0000,1
2,female,19,26.0000,1
2,male,43,21.0000,0
2,female,32,13.0000,1
2,male,34,13.0000,0
2,male,30,12.7375,1
2,male,27,15.0333,0
2,female,2,26.0000,1
2,female,8,26.0000,1
2,female,33,26.0000,1
2,male,36,10.5000,0
2,male,34,21.0000,0
2,female,30,21.0000,1
2,female,28,13.0000,1
2,male,23,15.0458,0
2,male,0.8333,18.7500,1
2,male,3,18.7500,1
2,female,24,18.7500,1
2,female,50,10.5000,1
2,male,19,10.5000,0
2,female,21,10.5000,1
2,male,26,13.0000,0
2,male,25,13.0000,0
2,male,27,26.0000,0
2,female,25,26.0000,1
2,female,18,13.0000,1
2,female,20,36.7500,1
2,female,30,13.0000,1
2,male,59,13.5000,0
2,female,30,12.3500,1
2,male,35,10.5000,0
2,female,40,13.0000,1
2,male,25,13.0000,0
2,male,41,15.0458,0
2,male,25,10.5000,0
2,male,18.5,13.0000,0
2,male,14,65.0000,0
2,female,50,10.5000,1
2,male,23,13.0000,0
2,female,28,12.6500,1
2,female,27,10.5000,1
2,male,29,21.0000,0
2,female,27,21.0000,0
2,male,40,13.0000,0
2,female,31,21.0000,1
2,male,30,21.0000,0
2,male,23,10.5000,0
2,female,31,21.0000,1
2,male,,0.0000,0
2,female,12,15.7500,1
2,female,40,15.7500,1
2,female,32.5,13.0000,1
2,male,27,26.0000,0
2,female,29,26.0000,1
2,male,2,23.0000,1
2,female,4,23.0000,1
2,female,29,23.0000,1
2,female,0.9167,27.7500,1
2,female,5,27.7500,1
2,male,36,27.7500,0
2,female,33,27.7500,1
2,male,66,10.5000,0
2,male,,12.8750,0
2,male,31,13.0000,1
2,male,,13.0000,1
2,female,26,13.5000,1
2,female,24,13.0000,0
3,male,42,7.5500,0
3,male,13,20.2500,0
3,male,16,20.2500,0
3,female,35,20.2500,1
3,female,16,7.6500,1
3,male,25,7.6500,1
3,male,20,7.9250,1
3,female,18,7.2292,1
3,male,30,7.2500,0
3,male,26,8.0500,0
3,female,40,9.4750,0
3,male,0.8333,9.3500,1
3,female,18,9.3500,1
3,male,26,18.7875,1
3,male,26,7.8875,0
3,male,20,7.9250,0
3,male,24,7.0500,0
3,male,25,7.0500,0
3,male,35,8.0500,0
3,male,18,8.3000,0
3,male,32,22.5250,0
3,female,19,7.8542,1
3,male,4,31.2750,0
3,female,6,31.2750,0
3,female,2,31.2750,0
3,female,17,7.9250,1
3,female,38,7.7750,0
3,female,9,31.2750,0
3,female,11,31.2750,0
3,male,39,31.2750,0
